,0
0,zero
1,"{'word': 'amount of stuff', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,"{'word': 'installations over purchase', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,"{'word': 'product within range', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,"{'word': 'good in price', 'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}"
5,"{'word': 'gap of floor', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,"{'word': 'demand for money', 'neg': 0.429, 'neu': 0.571, 'pos': 0.0, 'compound': -0.128}"
7,"{'word': 'installation of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,"{'word': 'screws on joints', 'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.25}"
9,"{'word': 'joints of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,"{'word': 'matters for bed', 'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.0258}"
11,zero
12,"{'word': 'quality of product', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,"{'word': 'good.service by flipkart', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,"{'word': 'durable for years', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,zero
16,zero
17,zero
18,"{'word': 'thanks to flipkarts', 'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}"
19,zero
20,"{'word': 'good value for money', 'neg': 0.0, 'neu': 0.274, 'pos': 0.726, 'compound': 0.6486}"
21,"{'word': 'stars for product', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
22,"{'word': 'star for installation', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,"{'word': 'installation by product', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
24,"{'word': 'engineer for installation', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
25,"{'word': 'hours for parts', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
26,"{'word': 'good compared to price', 'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
27,zero
28,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
29,"{'word': 'hour to product', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
30,"{'word': 'worth the money', 'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.2263}"
31,"{'word': 'polite delivery guys', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
32,"{'word': 'thanks for', 'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}"
33,"{'word': 'ends under mattress.we', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
34,"{'word': 'storage under bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
35,"{'word': 'lot of space.installation', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
36,"{'word': 'carpenter from jeeves', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
37,"{'word': 'good deal at price', 'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
38,"{'word': 'good experience of installation', 'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
39,"{'word': 'product with installation', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
40,"{'word': 'short back of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
41,"{'word': 'sleep comfortably', 'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}"
42,"{'word': 'respect to reviews', 'neg': 0.0, 'neu': 0.392, 'pos': 0.608, 'compound': 0.4767}"
43,"{'word': 'good for use', 'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}"
44,"{'word': 'time of installation', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
45,"{'word': 'product in price', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
46,"{'word': 'product in price', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
47,"{'word': 'type of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
48,"{'word': 'rack with edges', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
49,"{'word': 'foot of surface', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
50,"{'word': 'placing of boards', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
51,"{'word': 'placing on floor', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
52,zero
53,"{'word': 'part of sales', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
54,"{'word': 'less cot height', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
55,zero
56,"{'word': 'behavior of technician', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
57,"{'word': 'kind of installation', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
58,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
59,"{'word': 'type of products', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
60,"{'word': 'end of day', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
61,"{'word': 'thing about bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
62,"{'word': 'idea of different sized compartments', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
63,zero
64,"{'word': 'value for product', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
65,"{'word': 'use for bottom', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
66,"{'word': 'bottom for condition', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
67,"{'word': 'day of use', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
68,"{'word': 'thanks for installation', 'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}"
69,"{'word': 'worth of', 'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.2263}"
70,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
71,"{'word': 'difficulty of bed during installation', 'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.34}"
72,zero
73,"{'word': 'bed for price', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
74,"{'word': 'pay to tip', 'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
75,"{'word': 'good product from flipkart', 'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
76,"{'word': 'delivery on time', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
77,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
78,"{'word': 'home for arrangement', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
79,zero
80,"{'word': 'idea about quality', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
81,"{'word': 'thickness of plywood', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
82,"{'word': 'light weight and breakable', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
83,"{'word': 'design of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
84,"{'word': 'cart for products', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
85,zero
86,"{'word': 'board for selves', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
87,"{'word': 'okay in budget', 'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.2263}"
88,"{'word': 'attention to', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
89,zero
90,zero
91,"{'word': 'days for', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
92,"{'word': 'star for product', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
93,"{'word': 'home on time', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
94,"{'word': 'purpose of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
95,"{'word': 'storage on low cost', 'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.2732}"
96,zero
97,zero
98,"{'word': 'product by section', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
